word_bag_features,article_length,category
0.97,378,Politics
0.56,1809,Technology
0.42,569,Entertainment
0.68,1991,Business
0.67,328,Entertainment
0.59,287,Sports
0.92,1158,Politics
0.81,289,Politics
0.54,971,Business
0.5,661,Entertainment
0.53,1949,Technology
0.75,266,Sports
0.52,843,Sports
0.72,1989,Sports
0.77,1523,Sports
0.77,1998,Sports
0.84,1423,Business
0.77,1443,Technology
0.76,1049,Sports
0.94,1541,Politics
0.75,333,Business
0.5,913,Entertainment
0.3,611,Entertainment
0.87,767,Sports
0.87,734,Sports
0.73,817,Business
0.68,1944,Business
0.62,1530,Politics
0.66,252,Sports
0.84,1072,Politics
0.8,886,Business
0.74,1117,Business
0.47,1597,Technology
1.0,1970,Politics
0.47,1541,Entertainment
0.47,963,Entertainment
0.67,651,Business
0.71,978,Sports
0.6,1561,Business
0.7,258,Politics
0.72,263,Business
0.64,286,Sports
0.79,735,Technology
0.62,1163,Entertainment
0.69,1885,Technology
0.4,1074,Entertainment
0.97,1953,Politics
0.81,1105,Sports
0.57,1055,Technology
0.63,499,Technology
0.95,872,Politics
0.56,176,Entertainment
0.8,398,Sports
0.49,869,Entertainment
0.65,891,Sports
0.72,1074,Sports
0.82,1493,Sports
0.59,440,Technology
0.67,854,Politics
0.79,1873,Technology
0.65,914,Entertainment
0.74,1454,Politics
0.85,1841,Business
0.51,1075,Technology
0.62,467,Entertainment
0.93,405,Politics
0.97,861,Politics
0.66,1397,Technology
0.67,431,Sports
0.51,1105,Technology
0.57,632,Business
0.65,474,Politics
0.66,1162,Entertainment
0.85,731,Business
0.65,1140,Entertainment
0.52,769,Business
0.49,720,Technology
0.81,1402,Sports
0.71,1945,Politics
0.67,488,Business
0.56,749,Business
0.65,1882,Entertainment
0.48,1626,Entertainment
0.79,1145,Politics
0.75,643,Business
0.52,991,Technology
0.92,731,Politics
0.74,916,Business
0.64,1848,Entertainment
0.49,1942,Entertainment
0.51,1986,Technology
0.47,805,Entertainment
0.63,1358,Politics
0.84,1429,Sports
0.56,1244,Business
0.75,1126,Sports
0.62,1072,Technology
0.58,511,Technology
0.52,559,Sports
0.88,517,Sports
0.74,1699,Sports
0.64,237,Sports
0.68,1038,Politics
0.63,717,Sports
0.78,1449,Business
0.8,477,Sports
0.61,1279,Entertainment
0.73,737,Technology
0.74,639,Politics
0.44,254,Entertainment
0.52,213,Entertainment
0.75,299,Business
0.7,795,Politics
0.68,527,Business
0.62,889,Technology
0.4,427,Entertainment
0.5,418,Technology
0.72,1382,Technology
0.57,1208,Sports
0.57,682,Business
0.79,1720,Politics
0.48,878,Entertainment
0.39,1447,Entertainment
0.88,1705,Politics
0.5,1855,Entertainment
0.6,491,Sports
0.66,431,Sports
0.8,137,Technology
0.55,213,Sports
0.66,1753,Business
0.69,158,Sports
0.84,536,Politics
0.59,1361,Business
0.9,732,Politics
0.66,1619,Technology
0.91,1765,Politics
0.32,1824,Entertainment
0.69,1465,Business
0.42,362,Entertainment
0.76,194,Sports
0.63,139,Business
0.68,710,Sports
0.69,1556,Technology
0.57,1424,Entertainment
0.64,853,Entertainment
0.53,1340,Sports
0.88,1923,Politics
0.7,398,Business
0.63,1901,Politics
0.39,1191,Entertainment
0.69,1564,Technology
0.52,916,Business
0.51,1000,Sports
0.45,1338,Technology
0.7,511,Sports
0.6,1328,Technology
0.78,1220,Business
0.66,923,Technology
0.53,711,Entertainment
0.88,1158,Sports
0.7,1955,Business
0.61,1328,Technology
0.99,1958,Politics
0.8,942,Business
0.71,310,Politics
0.7,900,Technology
0.66,1036,Business
0.45,1001,Technology
0.31,315,Entertainment
0.68,609,Technology
0.71,1709,Politics
0.64,432,Sports
0.61,618,Business
0.39,298,Entertainment
0.98,846,Politics
0.89,664,Politics
0.52,1015,Entertainment
0.6,1248,Sports
0.73,1826,Technology
0.83,750,Politics
0.46,1347,Entertainment
0.54,1020,Entertainment
0.69,535,Sports
0.64,175,Entertainment
0.64,1234,Entertainment
0.41,1751,Technology
0.72,1633,Business
0.7,1534,Politics
0.78,128,Politics
0.9,1060,Sports
0.5,1084,Technology
0.54,1118,Sports
0.61,1361,Entertainment
0.7,468,Entertainment
0.4,880,Entertainment
0.42,128,Entertainment
0.83,161,Sports
0.8,982,Business
0.32,1752,Entertainment
0.52,1886,Sports
0.5,1197,Entertainment
0.41,1458,Technology
0.8,1798,Business
0.66,1363,Technology
0.51,426,Sports
0.58,514,Technology
0.6,1853,Technology
0.76,1963,Business
0.7,252,Sports
0.91,1409,Politics
0.52,1136,Technology
0.92,1544,Politics
0.56,658,Business
0.88,446,Sports
0.62,759,Politics
0.53,850,Technology
0.69,159,Entertainment
0.38,716,Entertainment
0.63,870,Technology
0.65,1927,Sports
0.95,591,Politics
0.89,277,Sports
0.55,1120,Technology
0.58,1095,Sports
0.49,1293,Entertainment
0.4,499,Entertainment
0.77,1295,Business
0.76,1451,Politics
0.63,496,Sports
0.58,1496,Sports
0.69,921,Entertainment
0.43,176,Technology
0.74,1081,Sports
0.98,110,Politics
0.68,360,Sports
0.75,1918,Politics
0.78,1932,Sports
0.53,1053,Technology
0.79,1852,Sports
0.79,1374,Politics
0.62,1265,Sports
0.49,1429,Technology
0.76,544,Sports
0.65,1431,Business
0.57,521,Technology
0.4,1436,Entertainment
0.79,455,Technology
0.52,1694,Business
0.63,947,Sports
0.55,1943,Sports
0.55,716,Business
0.77,678,Technology
0.85,1312,Politics
0.9,457,Politics
0.9,1189,Politics
0.71,1123,Technology
0.9,1750,Sports
0.92,1591,Politics
0.83,1194,Politics
0.68,1911,Business
0.59,1692,Sports
0.64,1573,Entertainment
0.53,368,Technology
0.86,474,Sports
0.58,150,Business
0.51,596,Sports
0.83,1201,Politics
0.62,1802,Entertainment
0.68,1206,Business
0.79,1746,Politics
0.63,786,Business
0.79,1983,Sports
0.47,1894,Entertainment
0.8,199,Politics
0.43,274,Entertainment
0.43,907,Technology
0.83,1671,Politics
0.86,1393,Sports
0.76,1141,Business
0.69,1349,Entertainment
0.64,1266,Business
0.7,175,Business
0.87,1663,Politics
0.56,1345,Entertainment
0.54,294,Technology
0.44,373,Technology
0.54,1207,Business
0.57,488,Entertainment
0.66,1566,Business
0.82,869,Business
0.64,1436,Politics
0.55,1363,Entertainment
0.75,499,Sports
0.79,900,Politics
0.57,147,Sports
0.74,950,Technology
0.77,248,Sports
0.53,1834,Technology
0.63,1285,Business
0.44,899,Entertainment
0.65,972,Entertainment
0.57,1805,Entertainment
0.64,707,Sports
0.59,987,Entertainment
0.56,1289,Entertainment
0.86,816,Politics
0.54,1284,Business
0.34,1372,Entertainment
0.61,141,Technology
0.99,385,Politics
0.77,1786,Technology
0.88,1321,Sports
0.63,1492,Technology
0.67,896,Technology
0.95,1692,Politics
0.5,433,Technology
0.54,1840,Technology
0.87,1204,Politics
0.88,985,Politics
0.76,603,Technology
0.6,1360,Sports
0.69,1684,Business
0.56,349,Technology
0.68,903,Entertainment
0.69,1016,Technology
0.62,626,Sports
0.55,1388,Entertainment
0.63,833,Technology
0.62,822,Politics
0.57,1430,Sports
0.53,1996,Sports
0.77,586,Politics
0.36,435,Entertainment
0.72,1307,Technology
0.57,205,Sports
0.57,1146,Technology
0.6,855,Business
0.67,641,Business
0.95,1522,Politics
0.79,1956,Sports
0.56,1699,Entertainment
0.86,1731,Politics
0.48,319,Entertainment
0.78,1737,Sports
0.65,886,Business
0.77,832,Business
0.48,1992,Technology
0.65,521,Sports
0.61,239,Entertainment
0.63,1232,Business
0.64,1400,Technology
0.49,551,Entertainment
0.49,1254,Entertainment
0.69,532,Entertainment
0.67,643,Politics
0.82,1227,Sports
0.54,1031,Business
0.69,1722,Technology
0.53,1450,Technology
0.76,1728,Politics
0.79,955,Politics
0.85,1806,Politics
0.31,1527,Entertainment
0.53,227,Sports
0.31,1046,Entertainment
0.4,1371,Entertainment
0.64,899,Entertainment
0.97,1223,Politics
0.77,1115,Sports
0.76,1201,Politics
0.3,1860,Entertainment
0.62,1465,Technology
0.54,1432,Business
0.54,222,Business
0.65,1326,Technology
0.7,1503,Business
0.62,885,Entertainment
0.66,252,Entertainment
0.87,748,Politics
0.73,1998,Politics
0.83,1013,Politics
0.75,215,Technology
0.67,1341,Technology
0.68,386,Sports
0.6,1789,Sports
0.72,504,Politics
0.69,1555,Business
0.64,1212,Business
0.9,1690,Sports
0.92,1606,Politics
0.67,1111,Entertainment
0.86,1976,Politics
0.53,406,Business
0.73,128,Business
0.77,1151,Technology
0.57,1042,Business
0.35,1888,Entertainment
0.65,1273,Technology
0.65,1716,Sports
0.62,1984,Business
0.95,852,Politics
0.68,1523,Politics
0.71,1601,Business
0.72,1036,Politics
0.96,1895,Politics
0.61,1453,Politics
0.67,649,Business
0.57,802,Sports
0.55,1455,Technology
0.76,1006,Sports
0.37,240,Entertainment
0.9,1709,Sports
0.5,283,Entertainment
0.7,1671,Entertainment
0.71,679,Sports
0.68,1272,Entertainment
0.54,1921,Entertainment
0.68,1131,Politics
0.73,936,Sports
0.78,1867,Business
0.85,1460,Politics
0.72,415,Business
0.87,1796,Sports
0.95,1044,Politics
0.56,1848,Technology
0.98,1877,Politics
0.86,854,Politics
0.4,847,Entertainment
0.41,244,Entertainment
0.86,1010,Politics
0.56,446,Business
0.66,308,Politics
0.57,1127,Business
0.75,273,Technology
0.76,719,Business
0.55,628,Technology
0.7,1370,Business
0.76,329,Sports
0.77,995,Sports
0.93,700,Politics
0.73,1796,Sports
0.8,1293,Sports
0.43,1895,Technology
0.82,1298,Business
0.8,418,Business
0.82,1464,Politics
0.51,1729,Sports
0.49,658,Technology
0.67,1034,Entertainment
0.55,1413,Business
0.77,976,Politics
0.79,638,Sports
0.81,145,Sports
0.73,1548,Politics
0.83,1953,Sports
0.5,1542,Technology
0.64,1161,Technology
0.86,1116,Sports
0.63,121,Politics
0.56,1702,Technology
0.88,1187,Sports
0.68,1621,Politics
0.88,1488,Sports
0.56,971,Entertainment
0.68,1347,Technology
0.8,1629,Sports
0.67,1024,Technology
0.56,1807,Technology
0.48,260,Technology
0.78,578,Sports
0.63,989,Politics
0.63,1842,Politics
0.58,304,Business
0.53,235,Business
0.41,1464,Technology
0.52,1102,Sports
0.6,1670,Entertainment
0.57,424,Business
0.61,1293,Business
0.63,1420,Entertainment
0.54,675,Sports
0.51,1672,Business
0.54,1052,Business
0.43,461,Entertainment
0.45,239,Technology
0.56,1067,Business
0.46,217,Technology
0.69,746,Entertainment
0.55,487,Sports
0.77,1493,Politics
0.96,1893,Politics
0.53,1520,Business
0.68,417,Business
0.57,1748,Technology
0.49,244,Entertainment
0.94,1355,Politics
0.51,1485,Business
0.39,335,Entertainment
0.45,246,Technology
0.5,1309,Technology
0.51,925,Sports
0.45,973,Entertainment
0.65,1066,Technology
0.36,1784,Entertainment
0.57,330,Business
0.71,1203,Sports
0.92,1840,Politics
0.48,206,Entertainment
0.43,1344,Technology
0.53,967,Technology
0.68,1412,Politics
0.54,1033,Sports
0.7,1595,Technology
0.72,1508,Politics
0.75,1327,Business
0.81,1137,Sports
0.67,141,Politics
0.57,105,Entertainment
0.45,160,Technology
0.5,534,Business
0.78,587,Business
0.72,890,Politics
0.7,1667,Sports
0.91,430,Politics
0.81,775,Politics
0.68,170,Entertainment
0.42,981,Technology
0.48,1883,Entertainment
0.74,1808,Business
0.71,524,Politics
0.61,125,Business
